Hours,Wind speed,Wind direction,,
839.5,15.9,355,,
840.5,15.8,356,,
841.5,15.9,358,,
842.5,16,358,,
843.5,16.1,358,,
844.5,16.3,358,,
845.5,16.4,358,,
846.5,16.6,359,,
847.5,17.2,360,,
848.5,18.1,3,,
849.5,18.7,9,,
850.5,18.7,12,,
851.5,18.6,12,,
852.5,18.6,12,,
853.5,18.6,12,,
854.5,18.5,11,,
855.5,18.3,11,,
856.5,17.9,10,,
857.5,17.3,8,,
858.5,17,5,,
859.5,17,4,,
860.5,16.9,3,,
861.5,16.7,1,,
862.5,16.5,358,,
863.5,16.2,355,,
864.5,16,353,,
865.5,15.9,351,,
866.5,15.8,350,,
867.5,15.8,350,,
868.5,15.6,351,,
869.5,15.4,352,,
870.5,15.5,352,,
871.5,16,352,,
872.5,16.5,356,,
873.5,16.6,1,,
874.5,16.4,5,,
875.5,16.2,7,,
876.5,16,7,,
877.5,15.8,7,,
878.5,15.7,7,,
879.5,15.6,6,,
880.5,15.4,6,,
881.5,15,5,,
882.5,14.6,1,,
883.5,14.4,358,,
884.5,14.3,357,,
885.5,14.1,354,,
886.5,13.9,350,,
887.5,13.7,347,,
888.5,13.6,346,,
889.5,13.5,345,,
890.5,13.4,347,,
891.5,13.3,350,,
892.5,13.3,352,,
893.5,13.3,353,,
894.5,13.5,353,,
895.5,14.2,351,,
896.5,14.5,357,,
897.5,14.4,3,,
898.5,14.2,5,,
899.5,14,6,,
900.5,13.9,5,,
901.5,13.9,5,,
902.5,13.9,6,,
903.5,13.9,8,,
904.5,13.7,10,,
905.5,13.3,10,,
906.5,12.9,8,,
907.5,12.9,4,,
908.5,12.9,359,,
909.5,13,354,,
910.5,13.1,349,,
911.5,13.2,346,,
912.5,13.3,345,,
913.5,13.3,346,,
914.5,13.3,349,,
915.5,13.3,351,,
916.5,13.3,350,,
917.5,13.3,349,,
918.5,13.6,349,,
919.5,14.3,349,,
920.5,14.7,355,,
921.5,14.7,358,,
922.5,14.4,359,,
923.5,14.1,360,,
924.5,13.9,0,,
925.5,13.8,2,,
926.5,13.8,3,,
927.5,13.8,4,,
928.5,13.7,6,,
929.5,13.3,6,,
930.5,12.9,4,,
931.5,12.9,2,,
932.5,12.8,2,,
933.5,12.5,358,,
934.5,12.4,350,,
935.5,12.4,343,,
936.5,12.3,337,,
937.5,12.1,335,,
938.5,12.1,337,,
939.5,12.1,342,,
940.5,12.1,346,,
941.5,12.1,349,,
942.5,12.5,351,,
943.5,13.3,351,,
944.5,13.7,355,,
945.5,13.5,359,,
946.5,13.2,1,,
947.5,13.1,2,,
948.5,13.3,4,,
949.5,13.4,6,,
950.5,13.7,7,,
951.5,13.9,6,,
952.5,14,4,,
953.5,13.6,2,,
954.5,13.2,0,,
955.5,13.2,360,,
956.5,13.4,359,,
957.5,13.7,357,,
958.5,13.9,354,,
959.5,14.2,352,,
960.5,14.4,349,,
961.5,14.6,346,,
962.5,14.7,346,,
963.5,14.8,346,,
964.5,14.8,348,,
965.5,14.9,350,,
966.5,15.3,354,,
967.5,16,359,,
968.5,16.7,4,,
969.5,17.1,8,,
970.5,17.2,10,,
971.5,17.3,11,,
972.5,17.4,11,,
973.5,17.5,10,,
974.5,17.6,9,,
975.5,17.7,8,,
976.5,17.6,6,,
977.5,17.3,2,,
978.5,17.1,357,,
979.5,17,353,,
980.5,16.8,351,,
981.5,16.6,351,,
982.5,16.4,351,,
983.5,16.1,350,,
984.5,15.8,350,,
985.5,15.6,349,,
986.5,15.5,348,,
987.5,15.4,348,,
988.5,15.3,349,,
989.5,15.1,349,,
990.5,15.2,351,,
991.5,15.8,351,,
992.5,16.5,353,,
993.5,16.9,356,,
994.5,17,359,,
995.5,16.9,2,,
996.5,16.8,2,,
997.5,16.7,3,,
998.5,16.7,3,,
